ID,Date,Primary Type,Description,Arrest,Domestic,Community Area,Latitude,Longitude,Date_TS,Month,Day,Hour,Year,Crime_Category
6650281,12/08/2008 08:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,false,false,17,41.958902502,-87.786783523,2008-12-08T08:00:00.000+02:00,12,8,8,2008,Non-Violent
6664282,12/15/2008 05:00:00 PM,CRIMINAL DAMAGE,TO PROPERTY,false,false,46,41.73638408,-87.551407972,2008-12-15T17:00:00.000+02:00,12,15,17,2008,Non-Violent
6009968,01/04/2008 07:25:00 PM,NARCOTICS,POSS: HEROIN(WHITE),true,false,23,41.899733538,-87.724986847,2008-01-04T19:25:00.000+02:00,1,4,19,2008,Non-Violent
6012280,01/10/2008 12:01:00 AM,BURGLARY,FORCIBLE ENTRY,false,false,49,41.697823571,-87.62325266,2008-01-10T00:01:00.000+02:00,1,10,0,2008,Non-Violent
6155602,03/25/2008 03:00:00 AM,THEFT,ATTEMPT THEFT,false,false,25,41.878504627,-87.768062567,2008-03-25T03:00:00.000+02:00,3,25,3,2008,Non-Violent
6031982,01/19/2008 09:15:00 PM,CRIMINAL DAMAGE,TO PROPERTY,false,false,63,41.793659094,-87.695568224,2008-01-19T21:15:00.000+02:00,1,19,21,2008,Non-Violent
6160533,03/29/2008 03:53:51 AM,NARCOTICS,POSS: COCAINE,true,false,66,41.786012237,-87.689927602,2008-03-29T03:53:51.000+02:00,3,29,3,2008,Non-Violent
6640872,11/18/2008 08:50:00 AM,PROSTITUTION,SOLICIT ON PUBLIC WAY,true,false,67,,,2008-11-18T08:50:00.000+02:00,11,18,8,2008,Non-Violent
6750598,02/11/2008 11:10:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,false,true,49,41.700035398,-87.61178147,2008-02-11T23:10:00.000+02:00,2,11,23,2008,Violent
6143636,03/20/2008 01:15:00 AM,CRIMINAL DAMAGE,TO VEHICLE,false,false,2,42.007544685,-87.700478721,2008-03-20T01:15:00.000+02:00,3,20,1,2008,Non-Violent
6635234,11/29/2008 11:00:00 AM,THEFT,FROM BUILDING,false,false,23,41.912149595,-87.736181,2008-11-29T11:00:00.000+02:00,11,29,11,2008,Non-Violent
6628148,11/24/2008 01:15:00 PM,BURGLARY,FORCIBLE ENTRY,false,false,51,41.709833173,-87.568580396,2008-11-24T13:15:00.000+02:00,11,24,13,2008,Non-Violent
6635448,11/23/2008 10:00:00 AM,THEFT,FROM BUILDING,false,false,7,41.929881241,-87.672762454,2008-11-23T10:00:00.000+02:00,11,23,10,2008,Non-Violent
6102023,02/18/2008 02:05:00 PM,NARCOTICS,MANU/DELIVER:CRACK,true,false,23,41.911893017,-87.710609256,2008-02-18T14:05:00.000+02:00,2,18,14,2008,Non-Violent
6096577,02/22/2008 05:29:41 PM,BATTERY,SIMPLE,false,false,35,41.831014114,-87.617317037,2008-02-22T17:29:41.000+02:00,2,22,17,2008,Violent
6646985,12/05/2008 03:48:42 PM,ASSAULT,SIMPLE,false,true,67,41.766251035,-87.65657393,2008-12-05T15:48:42.000+02:00,12,5,15,2008,Violent
6607680,10/27/2008 12:45:00 PM,ASSAULT,SIMPLE,false,true,45,41.745349433,-87.595345196,2008-10-27T12:45:00.000+02:00,10,27,12,2008,Violent
